Act Name,Act Code
Bronze Coin (Legal Tender) Act,144
Building and Other Construction Workers (Regulation of  Employment and Conditions of  Service) Act,145
Building and Other Construction Workers' Welfare Cess Act,146
Bureau of Indian Standards Act,147
Burmah Oil Company [Acquisition of Shares of Oil  India  Limited and of the Undertakings in India of,148
Burmah Shell (Acquisition of Undertakings in India) Act,149
Burn Company and Indian Standard Wagon Company (Nationalisation) Act,150
Butler and Company (Muzaffarpore) Limited  (Acquisition and Transfer of Undertakings) Act,140
Cable Television Networks (Regulation) Act,151
Calcutta High Court (Extension of Jurisdiction) Act,152
Calcutta High Court (Jurisdictional Limits) Act,153
Calcutta Land-revenue Act,154
Calcutta Land-revenue Act,155
Calcutta Metro Railway (Operation and Maintenance) Temporary Provisions Act,156
Calcutta Pilots Act,157
Calcutta Port (Pilotage) Act,158
Caltex [Acquisition of Shares of Caltex Oil  Refining (India)  Limited and of the Undertakings in In,159
Cantonments Act,162
Cantonments (Extension of Rent Control Laws) Act,160
Cantonments (House Accommodation) Act,161
Capital of Punjab Development and Regulation (Chandigarh  Amendment) Act,164
Cardamom Act,165
Carriage by Air Act,166
"Carriage by Road Act,2007",167
Carriers Act,168
Caste Disabilities Removal Act,169
Cattle-trespass Act,170
Census Act,171
Central Agricultural University Act,172
Central Boards of Revenue Act,173
Central Educational Institutions (Reservation in Admission)Act,174
Central  Excises and Salt (Amendment) Act,175
Central Excises (Conversion to Metric Units) Act,177
"Central Excise Tariff Act, 1985",176
Central Industrial Security Force Act,179
Central Industrial Security Force (Amendment and Validation) Act,178
Central Labour Laws (Extension to Jammu and Kashmir) Act,180
Central Laws (Extension to Arunachal Pradesh) Act,181
Central Laws (Extension to Jammu and Kashmir) Act,182
Central Motor Vehicle Rule,1112
Central Provinces Court of Wards Act,183
Central Provinces Financial Commissioner's Act,184
Central Provinces Land-revenue Act,185
Central Provinces Laws Act,186
Central Provinces Tenancy Act,187
Central Reserve Police Force Act,189
Central Road Fund Act,188
Central Sales Tax Act,191
Central Sales Tax (Amendment) Act,190
Central Silk Board Act,192
Central Vigilance Commission Act,193
Cess and Other Taxes on Minerals (Validation) Act,194
Chandernagore (Merger) Act,195
"Chandigarh (Delegation of Powers) Act, 1987",196
Chandigarh Disturbed Areas Act,197
Chaparmukh Silghat Railway Line and the Katakhal Lalabazar  Railway Line (Nationalisation) Act,198
Charitable and Religious Trusts Act,200
Charitable Endowments Act,199
Chartered Accountants Act,201
"Chemical Weapons Convention Act, 2000",202
Child Labour (Prohibition and Regulation) Act,203
"Child Marriage Act, 2006",1113
Children (Pledging of Labour) Act,204
Chit Funds Act,205
Chota Nagpur Encumbered Estates Act,206
Church of Scotland Kirk Sessions Act,207
Cigarettes and other Tobacco Products (Prohibition of Advertisement and Regulation of Trade and Comm,209
"Cigarettes (Regulation of Production, Supply and  Distribution) Act",208
Cinematograph Act,210
Cinematograph Act,211
Cine-Workers and Cinema Theatre Workers  (Regulation of  Employment) Act,212
Cine-Workers Welfare Cess Act,213
Cine-Workers Welfare Fund Act,214
Citizenship Act,215
City of Bombay Municipal (Supplementary) Act,216
Civil Defence Act,217
Coal Bearing Areas (Acquisition and Development) Act,218
Coal Bearing Areas (Acquisition and Development) Amendment  and Validation Act,219
Coal India (Regulation of Transfers and Validation) Act,220
Coal Mines (Conservation and Development) Act,221
Coal Mines Labour Welfare Fund (Repeal) Act,223
Coal Mines (Nationalisation) Act,222
Coal Mines Provident Fund and Miscellaneous Provisions Act,224
Coal Mines (Taking Over of Management) Act,225
Coastal Aquaculture Authority Act,226
Coast Guard Act,227
Coasting Vessels Act,228
Coconut Development Board Act,229
Code of Civil Procedure,230
"Code of Criminal Procedure, 1973",231
Coffee Act,232
Coinage Act,233
Coir Industry Act,234
Coking Coal Mines (Emergency Provisions) Act,235
Coking Coal Mines (Nationalisation) Act,236
Collection of Statistics Act,237
Collection of Statistics Act,238
Colonial Courts of Admiralty (India) Act,239
Commanders-in-Chief (Change in Designation) Act,240
Commercial Documents Evidence Act,241
"Commission of Sati (Prevention) Act, 1987",244
"Commissions for Protection of Child Rights Act, 2006",242
Commissions of Inquiry Act,243
Companies Act,245
Companies (Amendment) Act,246
Companies (Donations to National Funds) Act,247
Companies (Profits) Surtax Act,248
Company Secretaries Act,249
"Competition Act, 2002",250
"Comptroller and Auditor General's (Duties, Powers and  Conditions of",251
Compulsory Deposit Scheme Act,252
Conservation of Foreign Exchange and Prevention of  Smuggling  Activities Act,253
Consumer Protection Act,254
Contempt of Courts Act,255
Contingency Fund of India Act,256
Continuance of Legal Proceedings Act,257
Contract Labour (Regulation and Abolition) Act,258
"Control of National Highways (Land and Traffic) Act, 2002",259
Converts' Marriage Dissolution Act,260
Cooch-Behar (Assimilation of Laws) Act,261
Co-operative Societies Act,262
Copyright Act,263
Coroners Act,264
Cost and Works Accountants Act,265
Cotton Copra and Vegetable Oils Cess (Abolition) Act,266
Court-fees Act,267
Court-fees (Delhi Amendment) Act,268
Credit Information Companies (Regulation) Act,269
Criminal and Election Laws Amendment Act,270
Criminal Law Amendment Act,273
Criminal Law Amendment Act,271
Criminal Law Amendment Act,272
Criminal Procedure (Identification) Act,1115
Customs Act,274
Customs (Amendment) Act,275
Customs and Central Excise Laws (Repeal) Act,276
Customs Duties and Cesses (Conversion to Metric Units) Act,277
Customs Tariff Act,278
Cutchi Memons Act,279
Dadra and Nagar Haveli Act,280
Dakshina Bharat Hindi Prachar Sabha Act,281
